Category,Prod_name,Current_price,Num_comments,Review,Old_price,discound,currency,delivery,Get_date,fulfiment,best_seller,Prod_link
Electronics,"HP 305 Black Original Ink Cartridge Black (1) + HP 305 Tri-color Original Ink Cartridge(1) (3YM61AE/3YM60AE) | Works with HP DeskJet 2700, 2730, 4100 Printers Black/Multicolor","1,407",2.4K,4.4,"1,801",21% Off,EGP,#1 in Ink CartridgeFree Delivery10+ sold recently#1 in Ink Cartridge,Get it Tomorrow,,Best Seller,/egypt-en/305-black-original-ink-cartridge-black-1-hp-305-tri-color-original-ink-cartridge-1-3ym61ae-3ym60ae-works-with-hp-deskjet-2700-2730-4100-printers-black-multicolor/N43983194A/p/?o=cfc855e4304aaade
Electronics,HP Pack of 2 HP 652 Original Ink Cartridge Set Black & Tri Colour,"1,850",2.0K,4.6,"2,500",26% Off,EGP,#4 in Ink CartridgeFree Delivery10+ sold recently#4 in Ink Cartridge,Get it Tomorrow,,Not best seller,/egypt-en/pack-of-2-hp-652-original-ink-cartridge-set-black-tri-colour/N14372366A/p/?o=deab8a99d159ddde
Electronics,JOYROOM Ipad Pencil With Palm Rejection Glove Capacitive Stylus Pen For Kid Student Drawing And Writing Universal Ipad Pro Ipad 8Th 7Th 6Th Generation Mini Air Iphone Android Samsung Surface Silver,298.95,404,4.5,Not Found,No discound,EGP,#7 in Digital PensFree DeliveryOnly 2 left in stock#7 in Digital Pens,Get it Tomorrow,,Not best seller,/egypt-en/ipad-pencil-with-palm-rejection-glove-capacitive-stylus-pen-for-kid-student-drawing-and-writing-universal-ipad-pro-ipad-8th-7th-6th-generation-mini-air-iphone-android-samsung-surface-silver/N53402222A/p/?o=c01df9d00ac46bfe
Electronics,"sandisk 4TB Extreme Portable SSD Up to 1050MB/s USB C, USB 3.2 Gen 2 External Solid State Drive, SanDisk Extreme Portable SSD, SDSSDE61 4T00 G25 4 TB 4 TB","13,400",2.1K,4.6,"15,205",11% Off,EGP,#2 in External Solid State DrivesFree Delivery10+ sold recently#2 in External Solid State Drives,Get it by 5 Nov,,Best Seller,/egypt-en/4tb-extreme-portable-ssd-up-to-1050mb-s-usb-c-usb-3-2-gen-2-external-solid-state-drive-sandisk-extreme-portable-ssd-sdssde61-4t00-g25-4-tb-4-tb/N48625800A/p/?o=f3af3baf8e14f4ec
Electronics,"Samsung Fit 3 Smartwatch Amoled Display, Accelerometer, Barometer, Gyro Sensor, Optical Heart Rate Sensor, Light Sensor Gray","2,388",3.2K,4.6,Not Found,No discound,EGP,#8 in SmartwatchesFree DeliverySelling out fast#8 in Smartwatches,Get it Tomorrow,,Best Seller,/egypt-en/fit-3-smartwatch-amoled-display-accelerometer-barometer-gyro-sensor-optical-heart-rate-sensor-light-sensor-gray/N70040525V/p/?o=cd87f2c4fba5556d
Electronics,ATA ATA HD LED Smart 32 inch Tv - Black,"4,999",29,4.2,Not Found,No discound,EGP,Free DeliveryFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/ata-hd-led-smart-32-inch-tv-black/ZEC5B451D4B84A3E9BDABZ/p/?o=zec5b451d4b84a3e9bdabz-1
Electronics,ATA 43-Inch high quality LED TV ATA43F0N Black,"7,070",35,4.1,Not Found,No discound,EGP,Free DeliveryFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/43-inch-high-quality-led-tv-ata43f0n-black/N20162163A/p/?o=e544519aa9e8a20c
Electronics,FUJIFILM Instax Mini 12 Instant Film Camera With Pack Of 20 Films Blossom Pink,"5,499",864,4.6,Not Found,No discound,EGP,#6 in Instant CamerasFree Delivery#6 in Instant Cameras,Get it Tomorrow,,Not best seller,/egypt-en/instax-mini-12-instant-film-camera-with-pack-of-20-films-blossom-pink/N53402453A/p/?o=afda3ac649be306e
Electronics,NOKIA 105 Dual Sim Black 4MB,510,1.6K,3.4,700,27% Off,EGP,#1 in Feature PhonesFree DeliverySelling out fast380+ sold recently#1 in Feature Phones,Get it Tomorrow,,Best Seller,/egypt-en/105-dual-sim-black-4mb/N53386520A/p/?o=b310b0d03c45303b
Electronics,New Air Pods Pro 2nd generation USA - White,375,1.2K,3.2,"1,000",62% Off,EGP,#23 in Headphones & EarphonesFree Delivery#23 in Headphones & Earphones,Get it Tomorrow,,Not best seller,/egypt-en/new-air-pods-pro-2nd-generation-usa-white/ZD192614EFCFE76ED8D54Z/p/?o=zd192614efcfe76ed8d54z-1
