Product Name,Price,Reviews
"Xiaomi Redmi 15C Smartphone from 6 + 128 GB, Black Midnight, Screen of 6.9 Inch 120 Hz, MediaTek Helio G81-Ultr, Camera from 50MP, Charger Included | 18 Month Local warranty","6,999",188
Infinix Hot 50i 4G Smartphone 256GB Storage 8+8GB RAM - Sage Green,"11,599",64
"Nokia g60 5g smartphone, 6.58' hd+ 120hz display, 50mp ai rear camera, 8mp front camera, 6gb ram,128gb storage - grey","5,576",71
"Samsung Galaxy A26 5G, Android Smartphone, 128GB Storage, 6GB RAM, White, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version","17,999",200
"Samsung Galaxy A06 Dual Sim 4GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Light Blue- 1 Year Warranty/Local Version","23,976","2,493"
"Motorola Edge 60 Fusion Moto AI Smartphone, 6.67"" Super HD Display, 50MP Camera, 12GB RAM, 256GB, Android 15 - Pantone Amazonite Blue, 2 Years Warranty","22,999",72
"Xiaomi Redmi Note 14 Pro+ 5G smartphone, 12 GB RAM 256 GB, 6.67-inch AMOLED display, 1.5K, 200 MP camera, 120 W fast charging, black| 18 Month manufacturer warranty","8,666",265
"Samsung Galaxy A56 5G, Android Smartphone, 256GB Storage, 12GB RAM, Awesome Olive, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","19,555",764
"Xiaomi Redmi Note 14 Smartphone, 8 + 128 GB, Ocean Blue, 108 MP AI Camera System, 5500 mAh Battery, 120 Hz Eye Protection Display, AI Functions | 18 Month manufacturer warranty","23,314",265
"Samsung Galaxy A56 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Graphite, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","6,299",764
"Samsung Galaxy A56 5G, Android Smartphone, 256GB Storage, 12GB RAM, Awesome Pink, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","13,999",101
"OPPO A5i Smartphone 128GB, 4GB RAM Starry Purple","4,299",1
"Xiaomi Redmi Note 14 Pro Smartphone, 8 + 256GB, Blue, 200MP Professional AI Camera, 5500mAh Battery, 32MP Selfie Camera, AI Functions | 1 year manufacturer warranty",180,265
"Xiaomi Redmi A5 Smartphone 4GB + 64GB, Battery 5200mAh Octa-Core Processor, 32MP Al Dual Camera, 6.88 Inch Display, Fingerprint and Face Unlock, Lake Green",100,29
"Grabist Magnetic Case for Iphone 15 Pro Max, Compatible with MagSafe, Built-in Camera metal frame, Translucent Matte Military-Grade Drop Protection Magnetic Case cover (Natural Titanium)",180,3
"GRABIST Crystal Clear Case for Iphone 15 Pro Max Full Protection Compatible with Wireless Charging, Shockproof Soft TPU Phone Cover Compatible with iphone 15 pro max (Iphone 15 Pro max)",165,101
"V VOLT Clear TPU Acrylic Frame Phone Case - Full Body Protection Shockproof and Scratch, Compatible with iPhone 15 Stylish and Lightweight Design, Shockproof Cover (Black)","6,999",49
Eco Case for iPhone 15 Pro max Case Magnetic Transparent Clear Phone Cases [Compatible with MagSafe] Thin Slim Fit Shockproof Bumper silicon Protective Cover for Women Men Girls (Gray),"23,999",201
"Xiaomi Redmi 15C Smartphone from 8+256 GB, Black Midnight, Screen of 6.9 Inch 120 Hz, MediaTek Helio G81-Ultr, Camera from 50MP, Charger Included|18 Month Local warranty + Xiaomi Mi In-Ear Earphones","15,199",182
"Samsung Galaxy A56 5G, Android Smartphone, 256GB Storage, 12GB RAM, Awesome Lightgray, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","3,499",265
"Samsung Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Denim Black 1 Year Warranty/Local Version","16,999","1,359"
